Company_name,Description
ABP Group,Printing & Publishing 
Healthcare At Home,Healthcare 
DEN Networks,Broadcasting 
Astra Microwave Products,Hardware & Networking 
Synergies Castings,Auto Components 
Tata BlueScope Steel,Iron & Steel 
Airtel DTH Services,Telecom 
Aka Logistics,Logistics 
LogixHealth,IT Services & Consulting 
Capital Trust,NBFC 
National Organic Chemical Industries,Chemicals 
DataMetica,IT Services & Consulting 
Corporate Infotech,IT Services & Consulting 
DataMetica,IT Services & Consulting 
Tally Solutions,IT Services & Consulting 
ExportersIndia,Internet 
ESDS Software Solutions,IT Services & Consulting 
American Axle & Manufacturing,Auto Components 
Siti Networks,Media & Entertainment 
Kailash Hospital,Healthcare 
Bengal Beverages,Beverage 
Akumentis Healthcare,Healthcare 
Spectrum Talent Management,Recruitment 
Sakthi Auto Components,Auto Components 
Mr Cooper,Financial Services 
Resurgent India,201-500 Employees 
The Saraswat Co-operative Bank,Banking 
Rail Vikas Nigam,FMCG 
Yamaha Motor India Sales,Automobile 
Roop Automotives,Auto Components 
Reliance Projects & Property Management Services,IT Services & Consulting 
Aludecor Lamination,Architecture & Interior Design 
MagicPin,Internet 
Mann And Hummel Filter,Industrial Machinery 
Elite Elevators,Industrial Machinery 
Piramal Swasthya,Healthcare 
Godrej Interio,Furniture & Furnishing 
TCG Lifesciences,Pharma 
KRBL,Food Processing 
Owens Corning,Building Material 
Vasan Eye Care Hospitals,Healthcare 
Vistara,Aviation 
myGate,Law Enforcement & Security 
Iol Chemicals & Pharmaceuticals,Pharma 
Torrent Gas,Oil & Gas 
Mediterranean Shipping Company,Ports & Shipping 
P.D. Hinduja National Hospital and Medical Research Centre,Healthcare 
Maxxis Rubber,Auto Components 
International Game Technology,Gaming 
Merck,Pharma 
TIBCO Software,Software Product 
Eurofins It Solutions,IT Services & Consulting 
Mungi Group,Auto Components 
Caresoft Global,IT Services & Consulting 
FoodPanda,Internet 
Holcim,Building Material 
Avineon India,IT Services & Consulting 
Buhler,Industrial Machinery 
Nutricia,Fitness & Wellness 
Ksb Pumps,Industrial Machinery 
Deenanath Mangeshkar Hospital,Healthcare 
Orient Bell,Building Material 
Rapido,Internet 
Bharat Bijlee,Electrical Equipment 
Course5,Analytics & KPO 
Carl Zeiss,Semiconductors 
IPE Global,Management Consulting 
ABM Knowledgeware,IT Services & Consulting 
Pranav Vikas India,201-500 Employees 
SPML Infra,Engineering & Construction 
TransUnion,Financial Services 
FM LOGISTIC,Logistics 
Chettinad Cements,Building Material 
FNP,Retail 
KLAY Schools,Education & Training 
LT Foods,Food Processing 
Intercontinental Consultants & Technocrats,Engineering & Construction 
Urban Ladder,Furniture & Furnishing 
Offshoot Agency,IT Services & Consulting 
Mettler-Toledo,Electronics Manufacturing 
Zyoin,Recruitment 
Fynd,Internet 
Kelly Services,Recruitment 
Talbros,Auto Components 
Nuziveedu Seeds,Agriculture 
Stirring Minds,11-50 Employees 
Agilent Technologies,Pharma 
Arzooo.com,Internet 
RSM India,Accounting & Auditing 
Sheraton Hotels and Resorts,Hospitality 
1K Networks,Retail 
Pon Pure Chemical,Chemicals 
Aizant Drug Research Solutions,Clinical Research 
Cedcoss Technologies,Software Product 
LendingKart,NBFC 
Osource India,IT Services & Consulting 
Park Hospital,Healthcare 
Bosch Rexroth India,Industrial Machinery 
Shalimar Paints,Chemicals 
Prem Motors,Automobile 
TOPS,Food Processing 
Hewlett Packard Globalsoft,Mumbai +7 more
Gopal Snacks Limited,FMCG 
AQuity Solutions India,IT Services & Consulting 
Technotask Business Solutions,BPO 
Saxo Bank,1k-5k Employees 
Calsoft,IT Services & Consulting 
Dynacons Systems & Solutions,IT Services & Consulting 
Athenahealth Technology,IT Services & Consulting 
OnProcess Technology,Software Product 
MyMoneyMantra,Internet 
Bharat Aluminium Company (BALCO),Metals & Mining 
K L University,Education & Training 
Welspun Flooring,Building Material 
Indian Overseas Bank,Banking 
Tata Marcopolo Motors,Auto Components 
LEAP India Private Limited,Packaging 
Aparna Enterprises,Building Material 
BCD Travel,Travel & Tourism 
Netlink Software,IT Services & Consulting 
Greenpanel Industries,Furniture & Furnishing 
Stylebaazar,Internet 
Jay Chemical Industries,Chemicals 
Princess Cruises,Travel & Tourism 
Coronis Health,Healthcare 
Sunstone,Education & Training 
Lafarge,Building Material 
Kauvery Hospital,Healthcare 
Secure Value,IT Services & Consulting 
ADNOC,Oil & Gas 
Haldia Petrochemicals,Petrochemicals 
Sharda University,Education & Training 
Tata Steel Downstream Products,Iron & Steel 
Cooper Corporation,Auto Components 
Samsonite,Retail 
EC-Council,Education & Training 
Anudip Foundation,Non-Profit 
ArcelorMittal,Iron & Steel 
Indian Political Action Committee,Other 
Flatworld Solutions,BPO 
M Baazar,Retail 
Diamondpick,Recruitment 
Essilor,Medical Equipment 
NeoGrowth Credit,NBFC 
Hitech Digital Solutions,IT Services & Consulting 
Lernx,Hanumangarh +8 more
Markelytics Solutions,Analytics & KPO 
T&M Services consulting,Recruitment 
GUS Education India,EdTech 
ShopKirana,Software Product 
BCH Electric,Electrical Equipment 
Sun Pharma Laboratories,Pharma 
Amoli Organics,Pharma 
Accelya Solutions India Limited,Software Product 
Selec Controls,Electronics Manufacturing 
HyperCITY,Retail 
LuLu Group International,Retail 
Smart Value Products And Services,FMCG 
Falcon Autotech,Industrial Automation 
Hyundai Glovis,Logistics 
Corona Remedies,Pharma 
SRMB SRIJAN,Building Material 
Tejas Networks,Hardware & Networking 
Pole To Win,Gaming 
HYT Engineering,Industrial Machinery 
Lloyd Insulations,Industrial Machinery 
Gold Plus Glass,Other 
S. M. Auto Engineering,Auto Components 
Boehringer-Ingelheim,Pharma 
Indian Institute of Technology Gandhinagar,Education & Training 
Technico Industries,Auto Components 
GSP Crop Science,Agro Chemicals 
Madina Group,Oil & Gas 
Indian Institute of Technology Gandhinagar,Education & Training 
Encube Ethicals,Pharma 
Nibav Lifts,Industrial Machinery 
Saama Technologies,IT Services & Consulting 
Mashreq Global Services,IT Services & Consulting 
Neilsoft,Engineering & Construction 
Capital Small Finance Bank,Banking 
DISYS,IT Services & Consulting 
IndianOil Adani Ventures,201-500 Employees (Global) 
Doubtnut,EdTech 
Kiswok Industries,Auto Components 
Stellantis,1k-5k Employees 
GMR Hyderabad International Airport,Aviation 
Ozone Overseas,Architecture & Interior Design 
Bharat Rasayan,Agro Chemicals 
US Tech Solutions,Recruitment 
Delhi Metro Rail Corporation,Logistics 
Dr. Agarwal's Eye Hospital,Healthcare 
L&T Defence,Defence & Aerospace 
Mobileum,Software Product 
IIT Bombay,Education & Training 
Adient,Auto Components 
Essae Teraoka,Electronics Manufacturing 
Clariant Chemicals,Chemicals 
Dun & Bradstreet,Analytics & KPO 
MathCo,Emerging Technologies 
Bira 91,Beverage 
The Indian Hotels Company,Hospitality 
Hical Technologies,Auto Components 
Kores,FMCG 
Bank of Maharashtra,Banking 
Ricoh,IT Services & Consulting 
Hinduja Tech,IT Services & Consulting 
Hitachi Hi-Rel Power Electronics,Electronics Manufacturing 
Bluechip Corporate Investment Centre,Accounting & Auditing 
Nestaway,Internet 
Raptakos Brett and Company,Pharma 
Innovaccer,Software Product 
Nous Infosystems,IT Services & Consulting 
GD Research Center,Analytics & KPO 
Origo Commodities,Agriculture 
HDFC Mutual Fund,Financial Services 
Flipspaces,Architecture & Interior Design 
SMS Infrastructure,Engineering & Construction 
Yalamanchili Software Exports,Software Product 
Gtpl Hathway,Broadcasting 
Lotte India Corporation,FMCG 
Zuari Cement,Building Material 
Saksoft,IT Services & Consulting 
Kennametal,Industrial Machinery 
Polybond India,Auto Components 
Dalmia Bharat Group,Building Material 
Arabian Industries,Oil & Gas 
SK E&C,Engineering & Construction 
Milkbasket,Internet 
Mantra Technologies,IT Services & Consulting 
Propertypistol Realty,Internet 
Expleo Group,IT Services & Consulting 
Carrier Midea,Semiconductors 
Bmm Ispat,Iron & Steel 
Call 2 Connect,BPO 
Air Liquide,Chemicals 
E2OPEN,Software Product 
M.J Global,Packaging 
Birla Cement,Building Material 
Hathi Cement,Building Material 
VIT University,Education & Training 
Kharafi National,Engineering & Construction 
HealthKart,Internet 
Alfa Laval,Industrial Machinery 
Fluper,IT Services & Consulting 
TCL,Consumer Electronics & Appliances 
Innovatiview,Education & Training 
Kaynes Technology,Electronics Manufacturing 
Konecranes,Industrial Machinery 
L&T Transportation Infrastructure,Engineering & Construction 
Hyundai Construction Equipment,Industrial Machinery 
Shriram Group,Financial Services 
REPCO HOME FINANCE,NBFC 
Elentec India,IT Services & Consulting 
Nature's Basket,Internet 
V-bazaar Retail,Retail 
Himatsingka Seide,Fashion & Textile 
OptimHire,Internet 
DataTrained,EdTech 
CapeStart,IT Services & Consulting 
Zf Wind Power,1k-5k Employees 
Asort Company,Internet 
Globus Infocom,EdTech 
Paragon Footwear,Fashion & Textile 
Parksons Packaging,1k-5k Employees 
Arvato,IT Services & Consulting 
Supermax Personal Care,Beauty & Personal Care 
Invensis Technologies,BPO 
BrightCHAMPS,EdTech 
Systems Plus,IT Services & Consulting 
L&T Valves,Industrial Machinery 
Sunflag Iron and Steel,Iron & Steel 
Honour Lab,Pharma 
Bses Yamuna Power,Power 
Cohance Lifesciences,Pharma 
Equiniti,IT Services & Consulting 
Mitsuba Sical,Auto Components 
Merck Life Science,Pharma 
Indo Farm Equipment,Industrial Machinery 
Technosoft Engineering Projects,Industrial Automation 
Mahindra Insurance Brokers,Insurance 
Reliance BP Mobility,Oil & Gas 
Synopsys,Software Product 
Vindhya e-Info Media,BPO 
Sumitomo Chemical,Chemicals 
Nexteer Automotive,Auto Components 
Sangeetha Mobile,Internet 
Rama Medical College Hospital & Research Centre,Healthcare 
Rane Brake Lining,Auto Components 
Zudio,Retail 
Bangalore International Airport,Aviation 
Global Indian International School,Education & Training 
Polaris Consulting,IT Services & Consulting 
Yum!,Hospitality 
Metrochem Api,Pharma 
SML Isuzu,Automobile 
Yodlee,Software Product 
Yum!,Hospitality 
Godrej Infotech,IT Services & Consulting 
D.p. Jain & Co. Infrastructure Pvt .,Engineering & Construction 
Ircon International,Engineering & Construction 
Angelique International,Engineering & Construction 
Dee Piping System,Engineering & Construction 
Mindsprint,IT Services & Consulting 
Volkswagen Group Technology Solution,Software Product 
SISL Infotech,IT Services & Consulting 
NOON.COM,Internet 
MetroTelworks,Telecom 
Roquette Riddhi Siddhi,1k-5k Employees 
Rajsriya Automotive Industries,Auto Components 
Sotc Travel Services,Travel & Tourism 
Globtier Infotech,IT Services & Consulting 
TVS Mobility,Automobile 
L&T Realty,Real Estate 
Polyplastics Industries (I),Auto Components 
GSH Group,Facility Management Services 
AIS Glass Solutions,Building Material 
Ample Technologies,IT Services & Consulting 
AirAsia,Aviation 
Dorf Ketal Chemicals,Oil & Gas 
Alicon Castalloy,Auto Components 
HSBC Global Banking and Markets,Banking 
Tata Metaliks,Iron & Steel 
Zeetech Management And Marketing,1-10 Employees 
Vyapar,Software Product 
MediBuddy,Healthcare 
Dainik Jagran,Printing & Publishing 
Agarwal Packers and Movers Limited,Logistics 
Shyam Sel & Power,Industrial Machinery 
RCL-PRIYA CEMENT,Building Material 
GS Engineering & Construction,Engineering & Construction 
AQM Technologies,IT Services & Consulting 
63 Moons Technologies,IT Services & Consulting 
ABC Consultants,Recruitment 
Joyalukkas,Retail 
Easyday Club,Retail 
Jetking Infotrain,Education & Training 
Freyr Solutions,Pharma 
Mitsubishi Electric Automotive India,Automobile 
Techno Electric & Engineering Company,Engineering & Construction 
Kokuyo Camlin,FMCG 
Doha Petroleum Construction Company,Oil & Gas 
Incred Finance,NBFC 
Qwik Supply Chain,1k-5k Employees 
Quintessence Business Solutions & Services,Healthcare 
METRO Global Solutions Center,IT Services & Consulting 
Windlas Biotech,Pharma 
Pegasystems,Software Product 
Paragon Digital Services,Marketing & Advertising 
Sata Vikas India,Auto Components 
ClearTax,IT Services & Consulting 
Espire Infolabs,IT Services & Consulting 
Kellton Tech Solutions,IT Services & Consulting 
Addverb Technologies,Industrial Automation 
Evolent Health International,Software Product 
Wartsila,Ports & Shipping 
Frigorifico Allana,Food Processing 
McAfee,Software Product 
Finova Capital,NBFC 
Atyati Technologies,IT Services & Consulting 
Orix Auto Infrastructure Services,Logistics 
Reliance Fresh,Retail 
Dixit Infotech Services,IT Services & Consulting 
Technicolor,Animation & VFX 
Mirza International,Fashion & Textile 
Premium Transmission,Industrial Machinery 
Aabasoft,IT Services & Consulting 
Virchow Biotech,Pharma 
Veeda Clinical Research,Clinical Research 
Stovekraft,Consumer Electronics & Appliances 
Jindal Industries,Import & Export 
Unitech,Real Estate 
Halonix Technologies,Electronics Manufacturing 
Arvind Fashions,Fashion & Textile 
Jindal Industries,Import & Export 
Aabasoft,IT Services & Consulting 
Stanley Black & Decker,Industrial Machinery 
Apparel Group,Retail 
Wildcraft,Fashion & Textile 
Mars,Food Processing 
Electrical Research & Development Association,Electrical Equipment 
Netafim Irrigation India,Industrial Machinery 
RDC Concrete (India),Real Estate 
Carraro,Industrial Machinery 
Gyproc,Mumbai +34 more
Metric Stream Infotech,Internet 
Cheil India,Marketing & Advertising 
Parul University,Education & Training 
Flyjac Logistics,Logistics 
Sri Aurobindo Society,Non-Profit 
Valvoline Cummins,Auto Components 
MAQ Software,IT Services & Consulting 
Banco Products,Auto Components 
Richfeel Health & Beauty,Beauty & Personal Care 
BDO,Accounting & Auditing 
Allana Group of Companies,Food Processing 
National Petroleum Construction Company,Oil & Gas 
Reliance Home Finance,NBFC 
Freecharge,FinTech 
Naaptol Online Shopping,Internet 
Infocepts Technologies,IT Services & Consulting 
Manhattan Associates,IT Services & Consulting 
Halliburton,Engineering & Construction 
Nilons Enterprises,Food Processing 
Louis Philippe,Fashion & Textile 
Vara United,IT Services & Consulting 
A-1 Fence Products,Industrial Machinery 
Rheinmetall Automotive,Auto Components 
MN Dastur & Company,Metals & Mining 
Ugro Capital,NBFC 
Examity,EdTech 
Servion Global Solutions,IT Services & Consulting 
Somic ZF Components,Auto Components 
Global Aluminium,Metals & Mining 
Centre For Sight,Healthcare 
Ajio Business,Mumbai +97 more
IMSI,Recruitment 
The Dow Chemical Company,Chemicals 
Clix Capital Services,FinTech 
Xanadu,Real Estate 
Tata ClassEdge,EdTech 
AIG Hospital,Healthcare 
CareEdge Ratings,Financial Services 
Concord Biotech,Pharma 
Vedant Fashions,Fashion & Textile 
Hexagon Capability Center,IT Services & Consulting 
Cimpress,Printing & Publishing 
Shakti Pumps,Industrial Machinery 
Fosroc Chemicals India,Chemicals 
Automatic Infotech,IT Services & Consulting 
GTL,Hardware & Networking 
Sundaram Auto Components,Auto Components 
TRL Krosaki Refractories,Metals & Mining 
Conviction HR,Recruitment 
ZF Friedrichshafen,Auto Components 
SiliconIndia,Printing & Publishing 
Evolve Technologies & Services,Recruitment 
Cipla Health,Pharma 
ZF India Technology Center,Auto Components 
SKH Y-TEC,Auto Components 
International Automotive Components,Auto Components 
Subway,Hospitality 
Core Integra Consulting Services,Recruitment 
Welspun Enterprises,Engineering & Construction 
Shree Baidyanath Ayurved Bhawan,Pharma 
ACB (India),Oil & Gas 
Onsitego,Consumer Electronics & Appliances 
Imarque Solutions,BPO 
IDS Infotech,IT Services & Consulting 
NTT Global Networks,Hardware & Networking 
ServiceNow,Software Product 
eNoah iSolution,IT Services & Consulting 
Protiviti,Management Consulting 
Amartex Industries,Fashion & Textile 
Arena Animation,Education & Training 
Zydex Industries,Chemicals 
IKF Finance,NBFC 
Ruby Hall Clinic,Healthcare 
Harsha Engineers,Auto Components 
Pfizer Products India,Pharma 
Satin Finserv,NBFC 
Oberoi Realty,Real Estate 
Muthoot Pappachan Group,Financial Services 
Syncfusion,Software Product 
ScoreMe Solutions,Software Product 
DM Consultants,Abu Dhabi +18 more
Spice Money,FinTech 
Copeland,Pune +26 more
Titan Laboratories,Pharma 
GM Modular,Electrical Equipment 
Aeries Technology,IT Services & Consulting 
Nyati Group,Real Estate 
Nava Limited,Metals & Mining 
Shah Technical Consultants,Telecom 
Peregrine Guarding,Law Enforcement & Security 
Shah Technical Consultants,Telecom 
Nyati Group,Real Estate 
Maharashtra Hybrid Seed Company,Agriculture 
Flipkart Wholesale,11-50 Employees 
GRT Jewellers,Jewellery 
Diverse Lynx,IT Services & Consulting 
New Opportunity Consultancy,Recruitment 
Eastman Auto and Power Limited,Electrical Equipment 
Highway Industries,Engineering & Construction 
P&O Cruises,Travel & Tourism 
Walplast Products,Engineering & Construction 
Council of Scientific and Industrial Research,Government 
McNROE,FMCG 
Sterling Oil Exploration & Energy Production,Oil & Gas 
QBurst Technologies,Software Product 
Adama,Agro Chemicals 
Kanpur Fertilizers & Chemicals,Agro Chemicals 
Sri Sri Tattva,FMCG 
Helloverify,Law Enforcement & Security 
Motherson Sumi Wiring,Building Material 
ProConnect Integrated Logistics,Logistics 
Associated Road Carriers,Logistics 
Berkadia,Real Estate 
Infodrive,Other 
Bluestone.com,Jewellery 
National Contracting Company,Engineering & Construction 
Health India Tpa Services,Insurance 
Al Tasnim Enterprises,Engineering & Construction 
SALARPURIA SATTVA,Real Estate 
Desun Hospital & Heart Institute,Healthcare 
Uneecops Technologies,IT Services & Consulting 
UCO Bank,Banking 
Confidence Petroleum India,Oil & Gas 
Xchanging,IT Services & Consulting 
Alkyl Amines,Chemicals 
Tessolve Semiconductor,Semiconductors 
Common Service Centres,Government 
Adani Capital,NBFC 
Hollister Medical,Medical Equipment 
Hollister Medical,Medical Equipment 
Omkar Realtors and Developers Group,Real Estate 
Reliance Money,Financial Services 
Hygienic Research Institute,Beauty & Personal Care 
L&T–MHI Power Boilers,Industrial Machinery 
Micron Technology,Semiconductors 
Tommy Hilfiger,Fashion & Textile 
ReachLocal Services,Marketing & Advertising 
Allanasons,Food Processing 
Hindustan Times,Media & Entertainment 
NVH India Auto Parts,Auto Components 
Birla white,Building Material 
Andromeda Sales And Distribution,Financial Services 
Appsierra,IT Services & Consulting 
Bird Worldwide Flight Services,Aviation 
Essel Group,Media & Entertainment 
ABI Showatech,Auto Components 
Ensure Support Services,IT Services & Consulting 
Richa Global Export,Fashion & Textile 
CSC,Noida +27 more
Alchemy Techsol India,IT Services & Consulting 
Essel Group,Media & Entertainment 
CSC,Noida +27 more
Nitco,Building Material 
Ensure Support Services,IT Services & Consulting 
Apcer Life Sciences,Clinical Research 
Visa,FinTech 
Richa Global Export,Fashion & Textile 
Mkc Infrastructure,Engineering & Construction 
MRF Vapocure Paints,Chemicals 
Mahle Anand Thermal Systems,Auto Components 
FabAlley,Retail 
Ubisoft Entertainment,Gaming 
MSD Pharmaceuticals,Pharma 
Go Colors,Fashion & Textile 
Nexval Infotech,IT Services & Consulting 
Jubilant Biosys,Biotechnology 
Thomson Digital,Printing & Publishing 
Annalect,Marketing & Advertising 
YKK,Fashion & Textile 
Housejoy,Facility Management Services 
Realme,Consumer Electronics & Appliances 
Military Engineer Services,Engineering & Construction 
Jubilant Biosys,Biotechnology 
Thomson Digital,Printing & Publishing 
Nexval Infotech,IT Services & Consulting 
Citykart Retail,Retail 
Nesma & Partners,Engineering & Construction 
Busibud,Emerging Technologies 
e-Zest,IT Services & Consulting 
Bharat IT Services,IT Services & Consulting 
Tradebulls,Financial Services 
Vascon Engineers,Real Estate 
Siemens Healthcare,Healthcare 
Sureti Insurance Marketing,Insurance 
Patil Group,Engineering & Construction 
“Bharat Financial Inclusion Limited”,Hyderabad / Secunderabad +87 more
SBL,IT Services & Consulting 
Baramati Agro,FMCG 
ArcGate,IT Services & Consulting 
AVIOM,NBFC 
Sagar Cements,Building Material 
MobileComm Technologies India,Telecom 
The Hershey Company,Food Processing 
Roche Diagnostics,Pharma 
Omega Healthcare Solutions,Healthcare 
Khimji Ramdas,Retail 
Sabre,Software Product 
Aptus Value Housing Finance India,NBFC 
MT Educare,Education & Training 
Onida,Consumer Electronics & Appliances 
MapmyIndia,Software Product 
Roki Minda Co,Auto Components 
Apollo Clinic,Healthcare 
Nidec Corporation,Industrial Machinery 
Ordnance Factory,Government 
TowerVision India,Telecom 
Watertec India,Building Material 
TDS Lithium-Ion Battery,Electrical Equipment 
East India Udyog,Electrical Equipment 
DSV - Global Transport and Logistics,Logistics 
Vini Cosmetics,Beauty & Personal Care 
TÜV Rheinland,Law Enforcement & Security 
Cygnet Infotech,IT Services & Consulting 
Birla Tyres,Auto Components 
Eastern Condiments,FMCG 
Emami Paper Mills,Pulp & Paper 
CK Birla Group,Building Material 
HungerBox,Internet 
Magic Software,IT Services & Consulting 
Signode,501-1k Employees 
LabCorp,Healthcare 
Mahindra Lifespace Developers,Real Estate 
El Seif Engineering Contracting,Engineering & Construction 
Cloud4C,IT Services & Consulting 
NACL Industries,Agro Chemicals 
Arjas Steel,Iron & Steel 
Teachnook,EdTech 
Orion Innovation,IT Services & Consulting 
Sarvodaya Hospital,Healthcare 
Sub-K IMPACT Solutions,Financial Services 
Bombay Intelligence Security,Law Enforcement & Security 
Vayam Info Solutions,Recruitment 
ICRA,Financial Services 
ACG Worldwide,Pharma 
VGN Projects Estates,Real Estate 
Solartis Technology Services,IT Services & Consulting 
Shriram Chits,Financial Services 
CPM India Sales & Marketing,Marketing & Advertising 
HiyaMee Private Limited,Recruitment 
Aris Global Software,Software Product 
Western Digital,Consumer Electronics & Appliances 
Zebronics,Consumer Electronics & Appliances 
Molecular Connections,IT Services & Consulting 
Treebo Hotels,Internet 
Cactus Communications,Software Product 
Altruist Customer Management India,BPO 
Coding Ninjas,EdTech 
Inventia Healthcare,Pharma 
LANXESS India Private Limited,Chemicals 
Indus Net Technologies,IT Services & Consulting 
MMC Infotech Services,IT Services & Consulting 
ISS SDB Security Services,Facility Management Services 
Asti Electronics India,Auto Components 
Aliens Group,Real Estate 
Cordova Publication,Printing & Publishing 
Thyssenkrupp Industrial Solutions,Industrial Machinery 
Danfoss Power Solutions,Power 
BridgeLabz Solutions,EdTech 
Mitra SK,Other 
Cavisson Systems,IT Services & Consulting 
Theme Engineering Services,Engineering & Construction 
Sekisui Dljm Molding,Auto Components 
PEGATRON,Chennai +4 more
Tata Steel Long Products,Iron & Steel 
Eastman Chemical Company,Chemicals 
Smaaash Entertainment,Sports & Recreation 
Hindustan Syringes & Medical Devices,Medical Equipment 
CESC,Power 
Radiant Cash Management Services,Financial Services 
Checkmate Services,Facility Management Services 
Radiant Cash Management Services,Financial Services 
Planetcast,Media & Entertainment 
Hindustan Syringes & Medical Devices,Medical Equipment 
Mahindra Last Mile Mobility,Automobile 
Moody's Analytics,Analytics & KPO 
Sir H. N. Reliance Foundation Hospital and Research,Healthcare 
SPRINKLR,Software Product 
VFISLK,1k-5k Employees 
InfoBeans,IT Services & Consulting 
Knack Global,IT Services & Consulting 
MIOT INTERNATIONAL,Healthcare 
Bharat Dynamics,Defence & Aerospace 
VST Industries,FMCG 
Kubota Agricultural Machinery India,Agriculture 
Sj Contracts,Engineering & Construction 
Hofincons Infotech & Industrial Services,Industrial Machinery 
Algonomy,Software Product 
Akbar Travels,Travel & Tourism 
Royal Research,Analytics & KPO 
VST Industries,FMCG 
Akbar Travels,Travel & Tourism 
Signature Global,Real Estate 
Sj Contracts,Engineering & Construction 
Toshiba Transmission & Distribution Systems,Electrical Equipment 
Azure Power,Power 
Peter England,Fashion & Textile 
Oriflame,Beauty & Personal Care 
Vision India Services,Recruitment 
ESAB,Industrial Machinery 
Tega Industries,Industrial Machinery 
Etisalat,Telecom 
Seth M R Jaipuria School,Education & Training 
Spm Autocomp,Auto Components 
BDR Pharmaceuticals International,Pharma 
Intelliswift Software,Software Product 
Huntsman International,Chemicals 
Nobel Hygiene,Healthcare 
MNC Group,Investment Banking / Venture Capital / Private Equity 
Baxter Pharmaceutical Solutions LLC.,Pharma 
Madras Radiators and Pressings Limited,Auto Components 
DigiCall Teleservices,Telecom 
Moon Beverages,Beverage 
Pitambari Products,FMCG 
Nimbus Harbor Facilities Management,Facility Management Services 
MNC Group,Investment Banking / Venture Capital / Private Equity 
Baxter Pharmaceutical Solutions LLC.,Pharma 
Prism Johnson Limited - RMC (India) Division,Building Material 
Samsung Display,Electronics Manufacturing 
Iconic,Fashion & Textile 
Tata Digital,Internet 
Accurex Biomedical,Medical Equipment 
VVF,FMCG 
Walchandnagar Industries,Industrial Machinery 
Rainbow Childrens Hospital,Healthcare 
Springer Nature,Printing & Publishing 
Mahagun India,Real Estate 
Rosenberger Electronic,Electronics Manufacturing 
Bhandari Automobiles,Automobile 
Studds Accessories,Auto Components 
Walchandnagar Industries,Industrial Machinery 
Bhandari Automobiles,Automobile 
Rainbow Childrens Hospital,Healthcare 
Knowledgeworks Global,Printing & Publishing 
Anunta Technology Management Services,IT Services & Consulting 
Speridian Technologies,IT Services & Consulting 
Robosoft Technologies,IT Services & Consulting 
Theobroma Foods,Food Processing 
Murugappa Group,Agro Chemicals 
Cochin Shipyard,Ports & Shipping 
Seven Hills Hospital,Healthcare 
Bhilai Engineering Corporation,Industrial Machinery 
MeritNation,EdTech 
Arabian Construction Company,Engineering & Construction 
Sgs Tekniks Manufacturing,Electronics Manufacturing 
Indiabulls Real Estate,Real Estate 
Mfar Constructions,Engineering & Construction 
kipi.bi,IT Services & Consulting 
Burns & McDonnell,Engineering & Construction 
Mediamint,Marketing & Advertising 
Icertis,Software Product 
GSPANN Technologies,IT Services & Consulting 
Shree Renuka Sugars,Food Processing 
Sembcorp Energy India,Power 
Starbucks,Hospitality 
Zimetrics Technologies,IT Services & Consulting 
Can-Pack,Packaging 
Powerica,Industrial Machinery 
Lalitha Jewellery,Jewellery 
The Louis Berger Group,Engineering & Construction 
The Phoenix Mills,Real Estate 
Don Bosco School,Education & Training 
RV Solutions,IT Services & Consulting 
INDIAN PUBLIC SCHOOL,Education & Training 
Mukand Limited,Iron & Steel 
Machino Plastics,Auto Components 
MSPL,Metals & Mining 
TravelTriangle,Internet 
Dhruv Research,Management Consulting 
Koenig Solutions,Education & Training 
Nippon Koei India,Engineering & Construction 
Koenig Solutions,Education & Training 
Bharat Oman Refineries,Oil & Gas 
IB Group,Food Processing 
New Holland Fiat (India),Auto Components 
GE Aviation,Aviation 
Allianz,Insurance 
Samsung SDS,IT Services & Consulting 
Efftronics Systems,Electronics Manufacturing 
Holisol Logistics,Logistics 
Four Points By Sheraton,Hospitality 
Kirloskar Electric Company,Electrical Equipment 
Munjal Kiriu Industries,Auto Components 
DEC Infra,Real Estate 
Trivium Education Services,EdTech 
Vaibhav Global,Jewellery 
Zscaler Softech,Software Product 
Sonalika Group of Companies,Automobile 
Entigrity Solutions,Recruitment 
Wallace Pharmaceuticals,Pharma 
Enser Communications,IT Services & Consulting 
Wallace Pharmaceuticals,Pharma 
Jaypee Hospital,Healthcare 
Entigrity Solutions,Recruitment 
HyScaler,IT Services & Consulting 
Knowledge Splice Services pvt ltd.,BPO 
Zydus Hospital,Healthcare 
Multiplier Brand Solutions,Pharma 
Light & Wonder,Gaming 
Vem Technologies,Defence & Aerospace 
Tekion,Software Product 
Amara Raja Power Systems,Auto Components 
Oceaneering International,Engineering & Construction 
NAFFCO,Law Enforcement & Security 
Columbia Petro Chem,Oil & Gas 
Elcamino Software,BPO 
Dinshaws,Food Processing 
Mahindra Trucks & Buses,Automobile 
Refinitiv,Analytics & KPO 
Karamtara Engineering,Engineering & Construction 
CEVA Logistics,Logistics 
TCI Supply Chain Solutions,Logistics 
Themis Medicare,Pharma 
Jindal Power,Metals & Mining 
Indian Metals & Ferro Alloys,Iron & Steel 
VSynergize Outsourcing,Marketing & Advertising 
Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity 
Hinduja Finance,NBFC 
Ebix Payment Services,Financial Services 
Global Edge Software,Software Product 
Bajaj Hindusthan,Food Processing 
Bihar Rural Livelihoods Promotion Society,Non-Profit 
